"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3021","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4015","H4016","H4017","H4018","H4019","H4020","H4022","H4023","H4024","H4028","H4031","H4035","H4038","H4040","H4042","H4043","H4044","H4045","M2008","M2014","M2025","M2026","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2060","M2061","M2068","M2069","M2072","M2075","M2084","P6005","P6009","P6012","P6013","P6014","P6016","P6017","P6018","P6024","P6025","P6028"
"TACSTD2",32,70,72,22,329,223,100,815,46,321,19,43,30,40,437,45,44,43,130,33,68,0,45,65,13,127,9,22,66,28,26,20,117,12,19,139,21,98,29,519,15,35,204,40,39,28,16,16,25,16,33,20,16,155,19,25,13,28,145,2340,191,82,17,21,67,82,115,17
"TDRD1",6,20,3,5,4,1,18,34,7,4,2,4,7,87,5,5,4,9,0,24,3,0,23,5,0,3,3,10,5,12,147,3,1,3,268,34,1,13,9,3,1,2,11,2,2,6,1,9,1,7,9,2,48,27,3,4,4,4,7,15,1,11,19,4,4,42,14,44
"TECTB",0,0,1,0,11,0,3,0,1,10,0,0,0,0,39,2,0,3,6,1,1,0,1,6,0,13,0,2,0,4,1,2,8,1,1,11,0,1,3,7,0,1,5,0,0,0,0,0,1,0,2,1,0,8,1,0,0,1,13,8,8,1,0,2,0,3,4,2
"TG",30,33,22,130,78,56,45,78,73,85,12,25,82,73,107,52,84,23,127,16,41,1,26,38,21,81,27,19,37,16,31,42,93,18,64,199,28,106,17,80,27,29,94,13,20,11,20,49,14,25,24,11,9,91,17,20,16,17,104,87,147,19,8,35,25,70,151,31
"TGM2",11102,1076,3305,518,15579,6353,11234,9404,3149,24177,1499,1941,15523,1511,39888,3034,1650,1352,7170,1079,4697,8,837,7397,262,18947,857,1690,1519,1201,755,867,18420,782,2646,39092,1766,6651,1887,24128,1652,4091,19698,2030,3901,3125,864,3895,1117,2693,2677,1516,2836,15445,1774,2474,2166,1313,12801,13016,13262,3136,772,3171,2183,5353,21440,1738
"THRB-IT1",1,0,0,1,0,0,0,0,1,1,1,1,0,5,0,0,10,2,2,8,1,0,3,6,3,0,3,5,1,5,0,6,1,4,2,0,0,0,1,0,0,1,1,1,5,2,3,4,8,1,2,0,4,0,0,2,2,3,0,1,3,2,1,0,11,0,2,2
"TIMP1",3694,1437,4848,3057,16407,10605,9643,36215,4361,12980,1683,4393,11719,2060,14262,2474,4274,1836,2486,1308,3898,121,1628,10037,982,5377,2386,2511,2383,1130,2056,1351,3346,966,1758,9040,1949,3686,1444,16486,1723,3221,21412,1885,3094,1669,1577,3928,2662,1623,2045,1142,2071,24141,2023,1682,1815,1168,10852,16565,5246,1111,699,3539,4127,6191,13406,1702
"TM4SF1",3346,831,2621,8464,5978,5997,5430,10996,2345,8756,1551,2814,1812,2646,16688,909,3093,1222,3536,1193,1713,2,2533,4375,735,10205,967,2874,1437,2550,762,1766,8742,805,795,18030,1019,1783,1686,11259,3347,1620,6098,1021,1308,1047,1488,2077,706,799,1245,708,1369,7834,908,905,869,1232,6467,9854,6503,884,2745,1582,2255,2357,9155,1978
"TNFRSF9",96,26,33,16,219,45,266,322,43,300,17,24,520,5,216,58,14,31,85,20,95,0,18,133,6,417,36,44,271,14,21,58,107,26,22,251,31,47,38,258,13,144,309,37,98,64,20,77,3,3,19,18,32,396,40,19,24,25,176,303,264,160,4,72,142,163,392,46
"TPRG1",41,16,34,87,104,46,82,116,34,162,19,14,68,25,206,20,57,16,38,6,17,0,16,102,7,137,34,16,23,14,10,12,112,12,15,140,10,69,25,139,23,26,91,31,28,10,22,52,15,12,18,25,44,197,32,18,19,40,67,187,113,17,14,33,48,62,80,15
"TRIM29",2702,265,521,2757,3015,1241,746,1909,177,1597,185,350,14,234,5144,223,504,145,655,100,283,1,445,1240,303,1923,570,423,616,109,203,140,684,244,171,1821,152,575,161,2179,235,269,1031,131,181,131,188,309,106,134,117,114,213,1175,203,147,111,245,2150,3417,868,76,285,291,366,640,1825,207
"TRIM40",3631,421,222,2144,782,148,6796,899,1953,3362,75,164,26,2634,5617,444,757,222,1235,98,829,0,754,2710,407,2083,764,269,652,400,336,548,17833,734,305,4863,133,935,336,2914,111,650,2459,172,82,163,105,272,59,94,119,412,475,671,299,393,208,159,1362,1605,3334,889,517,292,555,760,2648,149
"TSPO2",9,4,0,1,13,6,34,15,28,17,1,2,0,19,65,4,3,2,16,1,1,0,5,10,0,33,12,0,4,0,0,3,62,0,1,64,1,10,6,49,0,2,22,1,2,2,0,6,0,0,0,0,1,7,0,0,1,1,35,31,13,33,0,2,6,15,39,1
"UBTFL6",10,0,9,0,16,23,0,19,4,16,5,2,20,2,3,2,1,2,9,1,6,0,3,7,0,11,1,4,4,0,2,2,0,0,3,5,2,4,3,11,2,4,12,6,1,1,0,7,2,1,3,0,1,11,1,2,3,0,12,18,31,2,1,1,0,7,11,3
"UCN2",1,0,1,0,27,3,3,174,0,13,3,2,63,0,1,0,3,0,1,1,4,0,3,6,0,2,0,3,0,0,1,0,0,0,0,4,0,1,1,7,0,4,14,2,1,0,1,0,0,2,0,0,1,37,2,0,3,0,3,18,2,0,1,1,0,4,5,3
"ULBP2",6,0,5,11,23,12,12,42,2,17,1,3,19,1,23,2,3,4,11,2,3,0,0,10,2,20,1,2,6,7,2,1,7,1,4,18,3,4,0,28,3,6,20,0,6,2,7,0,1,2,1,1,10,17,4,1,4,2,16,15,11,2,0,0,8,8,28,1
"URAD",1,12,0,7,0,1,3,0,2,7,1,0,20,0,2,1,3,32,33,72,0,0,385,121,0,2,0,153,0,128,200,0,1,0,1,0,1,2,50,0,0,1,0,0,0,9,5,8,1,0,0,0,0,0,2,6,0,0,2,5,1,76,2,0,0,19,1,0
"VNN2",217,29,69,41,2321,146,1079,2315,145,1359,168,163,4673,63,2649,195,83,230,237,104,597,13,115,801,27,1199,253,217,940,144,94,905,447,103,127,1165,139,592,251,3244,104,394,5970,237,312,147,110,290,75,118,152,110,153,2362,181,210,142,151,734,1134,1407,709,57,205,403,560,851,398
"VSTM1",37,3,34,2,63,56,10,45,5,71,3,0,30,1,18,6,0,2,11,18,1,0,1,61,2,18,3,19,13,1,2,3,16,16,2,15,3,12,2,38,12,2,38,15,1,3,1,4,1,0,0,2,3,12,0,6,9,7,28,89,44,11,2,9,10,26,6,19
"WARS",15752,2339,5326,5737,28501,7043,26403,26589,6679,50526,3577,4309,65210,2494,18777,6503,6900,3499,6509,3409,9184,15,3144,12487,1985,16411,2155,4603,5473,3965,2676,2993,8466,3171,2920,12103,3079,10410,3245,21656,4160,9804,56571,3762,5133,3739,2761,6400,1773,3185,3895,2750,4735,29173,3755,3849,3456,2732,17378,16863,17995,3672,1754,7113,6145,10222,20464,3632
"XXYLT1-AS1",1,0,0,0,1,2,0,0,1,0,2,2,0,1,2,0,0,2,0,0,1,0,7,0,2,0,1,0,6,2,0,3,0,0,1,0,1,2,0,0,1,3,0,3,2,0,1,6,2,1,6,1,4,1,4,6,3,0,5,1,0,0,1,1,4,3,2,2
"XXyac-YM21GA2.7",4,60,16,1,1,3,3,1,14,1,23,12,2,11,0,2,19,32,1,25,4,0,27,3,38,0,11,26,30,51,64,30,1,70,15,0,1,4,25,0,24,23,1,28,42,18,4,37,4,16,5,24,30,0,23,16,50,49,3,32,2,340,11,24,7,20,1,16
"ZBP1",1071,77,84,128,1094,309,969,983,283,2533,206,298,1364,246,2652,428,176,263,788,155,456,6,96,660,174,1074,311,180,363,151,190,237,1612,102,130,1940,214,740,163,1888,112,565,1182,172,252,191,96,386,135,128,145,125,182,1433,186,186,129,63,1316,944,1003,192,59,233,253,1419,1292,230
"ZCCHC5",3,0,14,2,5,1,3,5,2,4,1,0,17,0,1,0,0,0,4,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,3,1,0,0,0,2,0,1,0,0,4,0,3,0,0,2,8,0,0,1,0,2,2,2,2
