"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4001","H4004","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4040","H4042","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2075","M2084","P6005","P6009","P6012"
"_C18n_QI8628",6463381,5912661,238700,419810,1797074,36323,848703,729729,750232,3736,112683,4239035,83608,13785251,940254,68047,387513,6896442,45620,70161,28068,77333,76472,1677382,23525,31360,1119366,938095,347389,64927,79848,79639,996964,41329,88242,28647,22369,288588,42613,79218,817,264870,62626,64507,172852,232187,1003276
"_C18n_QI3155",333474,4824,5605,2563,30269,4339507,13855,21693,5581102,658,115787,89298,6491,26291,10564,16457,3394,6416,2186,7326,9245,1230,38220,19192,5017,8944,36435,32997,25070,10346,20524,9817,2843,4418,12084,11674,118628,7121,872529,4488,995,8668,7308,22253,83356,13524,49281
"_C18n_QI8632",415226,257972,37435,96086,123504,175473,150027,143888,77235,1839,377922,2909760,191175,17958399,1372718,245809,336924,171172,30339,102297,48134,82639,176903,2771609,66481,76283,1557530,235250,474987,169966,102480,191881,831388,51003,313598,59871,59028,56768,68426,218208,5303,217921,72007,157781,480857,325377,687159
"_C18n_QI11965",514172,68940,122224,347911,516119,4145697,247019,283135,207800,3741,95663,4850526,455246,18040376,2473018,25632,52317,129665,22202,37846,211754,162749,295290,6669871,27197,270394,8235166,239992,932839,239045,245404,70682,311288,96120,212504,1619,417609,152810,65051,161833,905,24759,217914,230326,565294,341337,1803415
"_C18n_QI9508",370881,222312,239114,1142732,180526,256696,400571,50964,258265,5367,129692,1582442,2144506,11855857,1245355,258501,90478,36026,98599,227194,172313,330431,930725,174203,118516,172177,9844594,10696,217523,144731,207550,430955,140276,33366,865453,121696,3388081,173708,66929,28439,8043,84352,387112,152256,1016842,179902,2860193
"_C18n_QI9577",2429705,703456,558645,1000259,1643718,8191882,1327618,1986985,847484,22832,1049777,12629710,1056241,95932750,10199302,215216,597943,824845,183004,277171,538853,594177,1263874,17962098,143253,1203392,23750160,695474,2802075,1588724,604483,493127,8847212,303020,2557791,160054,1568156,737710,263047,693968,11968,554767,600562,1035432,1373776,1943446,9628904
"_C18n_QI3373",18259,8449,6823,13731,16714,78373,13977,15381,7340,12135,8788,76429,12909,433553,71709,8296,5917,7225,4274,3155,10085,3392,15476,94595,5915,12048,199049,9979,25740,14811,8769,4807,87613,3910,16608,2398,19581,14780,2010,8953,3956,6121,6871,13898,16018,13956,90679
"_C18n_QI10458",197432,57647,56121,144010,169161,895406,121464,113322,100369,1051,74463,514153,155306,2014674,560982,26416,7234,74048,17208,18191,81346,36246,189025,728662,7220,105650,1661874,92527,270559,126246,101863,41004,436089,31481,100058,8513,188905,78867,70201,64771,1179,24339,69292,98922,234403,86681,705125
"_C18n_QI11770",294410,81816,75571,191244,232219,1018596,183092,150615,75212,268,92081,426902,173652,1926390,720622,7537,4444,83309,11371,11158,105705,68766,211843,667934,6492,116700,2097649,134254,280124,149458,115100,24269,638970,32314,148943,4181,337057,111997,41542,96826,280,20869,87369,126527,262948,101306,870340
"_C18n_QI11966",5247808,1568218,1501429,3637620,4363575,21536443,3330226,3307815,1636436,117396,1315744,15155830,3654752,68115598,16143539,269188,381397,1731395,329183,391141,2070973,1284223,4307036,23189339,345847,2538080,46895560,2359512,6323341,2844011,2056587,673718,12695825,727488,2419417,138443,5203727,2306878,599579,1844428,60852,485235,1570070,2417903,5309538,2616930,19415469
"_C18n_QI12177",212915,66205,71683,150203,190455,1147879,136916,187586,70885,358,51552,758565,167013,3089054,759941,8323,18745,87324,9343,16860,78402,53945,194818,1023290,12981,104726,1964299,108843,271275,117269,84561,27061,538064,30330,88309,4055,221835,83524,25203,75001,433,27643,65128,93792,218642,108813,814174
"_C18n_QI12912",381549,127734,104368,271607,370815,1477828,256913,209120,159580,9009,77122,256660,136707,1524334,1017294,16997,3524,82307,16200,9886,209322,27788,361267,431662,21614,189149,3894787,157487,350925,226066,152283,40324,1656248,15271,235570,3636,542167,270463,16894,145721,5114,25430,112337,265287,510791,106050,1665085
"_C18n_QI6223",586128,243562,1504041,85294,174880,1532265,184829,2667481,126951,414772,711344,61768,22025,186739,1451403,114001,42939,54503,42109,184475,97709,36865,189990,116982,154878,108888,249879,35824,49104,56106,78557,70714,5547487,11224,76524,34224,414676,351444,45251,394274,151366,35661,57792,300451,184189,45499,170822
"_C18n_QI3967",135284,10289,12962,4439,23652,1424502,5471,5616,2407809,455,49773,72932,6582,261969,8708,1211,3107,12710,1688,2344,4046,10595,10527,65458,794,8262,31690,20245,20941,3185,14676,6204,3615,3342,6168,3805,90494,28514,546581,889,1102,2025,9379,5755,27308,21665,25856
"_C18n_QI10402",169913,15438,20527,43815,243493,53863,30594,73465,18600,1658,30875,1628092,37155,13736174,430824,13344,22088,46870,10505,19149,16668,39985,37586,969455,4742,95612,456518,26008,84693,44255,30755,17401,217418,12775,98809,6262,20174,35921,11510,8562,606,23640,64035,32599,138556,75493,635479
"_C18n_QI7668",2005507,39505,40279,197017,105956,211297,33466,59617,39103,67653,224726,117135,451216,16043,115437,217724,194981,658496,61906,150161,38965,2454464,197076,64264,65261,186391,2621901,488835,209630,133076,211532,105277,15496,75937,48509,78553,1072782,130916,233699,39394,55519,126324,61060,24904,150285,232502,20530
"_C18n_QI9067",7508991,4696034,738670,2573012,2186192,3518057,4225901,1575766,1823935,66360,795877,40859767,3483458,193870222,28346465,920068,2816156,2613075,438266,887164,1018836,2486670,2580873,40240189,610321,2296823,62948874,3271781,8484868,4834431,2721539,1873117,30553774,688540,1941217,1081780,2422464,2355939,802302,439486,17773,590645,1590274,3007883,4377107,5674765,34200472
"_C18n_QI11626",125975,159123,2195,13231,19892,93594,29154,3618,65119,11385,1524,473311,115318,1006903,754753,3179,18672,78963,16399,8109,5240,137234,76410,501870,8187,28550,1751084,99468,156230,62519,98969,16891,579903,12149,31890,8139,25490,49131,1469,12518,191,2534,97276,4432,66120,179813,375524
"_C18n_QI8291",2765374,1023102,7140742,111011,434478,9,4745,22416139,9670,22461,263,129,12273,6860,8539,50409,4315,7145,53997,13682,1153,2061,13983,797,6010,13907,3213,11061,7412,9137,32836,1691,584,7118,6498,8655,98,30984,6839,5641,3329,8659,2736,15989,208,1016,1032
"_C18n_QI9340",2711724,323974,14359116,46019,708597,3046,1840,82310671,546,3362,219,320,3283,500,3028,11058,2808,5432,2430,4287,459,3212,6213,538,5242,2750,1783,1008,1518,809,4211,3103,91,14548,1382,2172,583,3721,2931,899,1254,4821,1083,1051,6777,22826,977
"_C18n_QI11695",378994,174669,37919,87443,87752,1221685,167714,154327,88671,303,2314,3426150,691654,10786810,4861890,10751,42920,333406,39384,60883,29595,375015,196085,3866410,30786,114467,6766912,167765,848536,347111,373885,40766,4088385,41497,196382,33147,121472,241083,9723,64891,4200,10861,70156,4390,515962,578672,5865173
"_C18n_QI12427",2737149,247322,1603580,5791475,8741130,1113938,303934,661150,241697,17364,184734,10200874,656328,74011690,3991085,73051,26091,764154,198916,143843,156303,810891,672703,5041319,14842,333709,3189364,17152,316734,554876,186318,256835,140825,72917,425234,35679,1582490,1044750,925872,184554,27610,86044,564371,398210,1592194,1473547,10813823
"_C18n_QI9197",921200,226842,3098984,4975,79335,1047,4452,15857428,13,4679,7719,26,2506,988,4308,25481,20112,31473,6971,6112,32914,30336,7705,279,1012,8324,19250,189,3340,18771,3408,4260,18256,1422,6633,4049,11477,2555,7899,1831,4068,2846,3636,24559,7775,7050,20377
"_C18n_QI3371",502303,13610,20477,5128,39149,631220,20208,8119,889184,741,141095,177795,11188,570982,28015,4069,6841,28891,3071,3511,41675,33570,13322,103590,4250,8776,126930,17564,26948,7451,40356,6114,16414,3611,5147,15310,106821,58095,724466,258,630,1964,7803,21605,162489,39173,64343
"_C18n_QI6538",318655,27206,27355,10230,85471,380755,25403,5455,220287,3464,156525,62226,8896,616238,56463,2698,1653,4055,5022,360,89139,20478,20685,115514,5719,11511,368905,16988,45915,16737,61968,5507,53554,1024,13393,16592,266862,167729,30410,851,1534,2804,15014,61056,290759,12459,166735
"_C18n_QI6898",2102807,289564,256157,101572,661171,2022014,324980,105492,1505693,69041,1093321,673395,115006,4461404,561346,51477,65953,191369,53263,32932,784537,323221,200506,1002811,88126,151945,2492710,135333,349785,142374,496863,81352,647556,25864,86599,152953,1492294,1395702,369639,17682,31565,34205,151854,546351,1883679,194089,1419665
"_C18n_QI13130",823807,74253,68774,24177,135936,1334610,68766,67132,1106270,12486,375064,349635,26262,1601087,125396,43951,13279,23076,18006,14673,178166,60820,65526,452572,12415,39687,613012,56150,98955,38243,153382,20936,50153,2415,19585,47660,404399,236745,535585,1682,1994,5830,47770,72379,509996,70740,244641
