"","C3002","C3003","C3004","C3005","C3006","C3011","C3015","C3016","C3017","C3022","C3023","H4006","H4007","H4008","H4009","H4010","H4013","H4014","H4016","H4017","H4018","H4019","H4022","H4023","H4039","H4043","H4044","H4045","M2008","M2025","M2027","M2028","M2034","M2039","M2041","M2042","M2047","M2061","M2084","P6005","P6009","P6012"
"_C18n_QI2540",280761,11009,109617,17504,69668,8413,4035,27082,344030,1566,10417,10834314,7109,101,89,5168,1822,2486,5689,26635,959897,5457,1602,30798,8010434,186378,24188,15880,NA,4584,269634,8243,2807456,10974,13606,10418,1267,1258,1744,89481,170,434356
"_C8p_QI18816",NA,NA,610,NA,NA,NA,NA,15511,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759,NA,NA,NA,NA,NA,NA
"_C8p_QI10487",NA,NA,NA,NA,NA,292,28658,NA,NA,194,NA,NA,NA,105,NA,NA,NA,1115,892,NA,87445,NA,NA,NA,NA,NA,1120,NA,NA,NA,NA,NA,NA,39459,NA,NA,NA,121,NA,92,NA,NA
"_C18n_QI7285",1412,1607,8136,342,17077,6751,20374,2799,NA,35084,3764,50462,26650,873,1274,1852,6621,1482,12009,10300,2481,2404,3578,1536,44335,5697,1826,3649,31007,6133,512,13936,1672,NA,605,6229,21414,1833,16686,6163,8403,NA
"_HILp_QI7831",NA,1188,NA,43668,NA,6679,6383,20626,1110,3735,NA,2063,3918,4170,5596,2377,1971,6518,3014,2327,NA,4365,3782,2019,7678,2569,635,3414,4125,8698,6813,2512,4043,NA,4383,2406,5856,9096,14253,992,280,4906
"_HILn_QI5029",223,506,48,4370,NA,NA,557,1665,NA,107,NA,340507,NA,49,366,NA,35,1345,1302,25668,16286,NA,NA,1792,3773,5983,18,NA,NA,661,374,378,3372,151,365829,8955,4368,NA,NA,88,NA,373
"_HILn_QI4227",9036,401888,5041,NA,487930,NA,NA,10331,256266,8,NA,NA,NA,NA,NA,217759,NA,NA,NA,53,NA,2921760,NA,1435,NA,NA,NA,NA,9810,NA,NA,NA,NA,41748,3993735994,NA,73,NA,22,36359,NA,NA
"_C18n_QI5246",755,5118,1325,2206,239,1825,5802,3984,1070,6358,86,525,2665,2276,2726,4182,2449,1820,NA,682,228,21,1519,5019,834,38513,1650,1898,750,2954,1700,3257,NA,3109,2106,479,9114,11008,14999,1420,2135,185
"_C8p_QI19135",NA,791,NA,184545,23461,34145,8,NA,5484,NA,NA,4766,NA,17679,1556,4486,220009,98712,13311280,624,90,35154,NA,NA,1430,4503,13684,1432212,NA,18993729,54076,203,NA,915,141,129693856,241452,514148,NA,3872,1543631,NA
"_C8p_QI25455",NA,NA,NA,NA,NA,NA,NA,NA,NA,11088,NA,NA,NA,3964,NA,NA,5759,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI13386",194223,807467,615050,5275400,5240715,3925686,557761,1901812,6905743,283096,648344,4954301,2673251,240297,1756999,3520461,1909954,2141488,3520831,1219678,7122370,1500093,811131,1988500,8244065,1524632,3230896,3985527,1850865,1278579,2323105,1025717,4964702,13556762,1663166,2051325,202029,2256757,3379016,2458969,1750674,50246982
"_C18n_QI5685",145,5700,221995,16135,8046,6572,22548,12790,1693,144959,5155,6,461,17491,5380,20936,57088,22314,4397,395,1803,1680,1667,13213,3068,5969,1757,4988,106620,59258,30584,44423,13338,294,99111,5483,10516925,9933,106811,6233,1376,257
"_C8p_QI1250",201340,159852,122397,116365,218331,188667,144874,53542,203813,162028,106081,168784,144791,41558,90041,120771,46103,169349,199884,67440,193998,64394,44759,134261,226193,115178,157330,117183,489778,167509,175695,118383,122777,289702,94723,140887,205661,85756,255656,214169,115653,244884
"_HILp_QI18737",13580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65114,NA,102,897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI13994",10134,974,619,38252,1651,NA,260,3063533,909,5095960,NA,178109,1873,4102008,55428,4925,4673480,12000,5307,511581,197742,3315516,4142397,343246,630404,3105,NA,23825,NA,6463,NA,1708,2424494,3231,2021,956,142079,416835,58884,NA,10580,4370
"_HILp_QI11643",82978,4471561,759726,8010899,68122,NA,2246958,3838198,1176182,456657,1703511,3323411,10582478,1675528,1012229,5873501,493167,614883,645693,827555,220670,2377629,2980401,10448946,464657,1030822,48657,1287977,2291,128941,1273558,1399752,6615314,1309150,105519,8740698,1613851,515724,1782781,451758,2039800,1328115
"_HILn_QI17044",580,12207,16976,7913,7471,2990,2269,14649,1973,6838,658,7635,1924,4688,7581,23478,22299,13459,13648,10059,2003,7116,6203,10282,18538,12031,6168,411,2848,581,6155,4807,5763,2270,32574,8864,3460,4029,4596,16825,14281,1355
"_HILp_QI5912",NA,37999,31367,162796,NA,NA,60564,12332,3850,48150,5758,NA,15023,8634,19789,23701,17706,19052,17971,3617,NA,14198,64316,15367,7807,27721,6496,16797,16490,140024,18152,17295,NA,1800,48119,58047,19818,142934,31641,35127,27669,NA
"_C8p_QI22050",43552,100842,118082,409233,25799,103154,136329,137786,93934,26536,178086,21127,48897,164396,266199,261155,99005,203992,54092,210272,61547,81496,189257,175168,NA,839411,294568,525484,10220,231815,59911,1535856,867,109159,645167,34255,NA,72784,80000,146333,130146,201016
"_C18n_QI1101",NA,133,560,477,196,57,138,549,6605,1880,926,NA,646,3543,866,NA,628,3506,NA,3347,580,548,1106,765,NA,1163,798,1352,285,1147,1259,603,NA,228,621,1189,3350,3173,1758,1250,1698,NA
"_HILn_QI13661",NA,120631,25926,30398,2372,8908,91541,41223,7414,126161,82973,NA,691236,172708,72569,98463,252695,204853,160961,53554,NA,107895,62636,170763,434,41701,5515,121220,2057,48552,75483,51793,549,113258,31256,39266,100513,24170,17270,NA,127218,NA
"_C8p_QI24661",NA,NA,NA,NA,NA,NA,20122,9312,NA,NA,8290,NA,NA,NA,NA,NA,NA,NA,11442,NA,NA,NA,NA,777,NA,5047,NA,NA,NA,NA,NA,12714,4647,NA,NA,NA,NA,NA,32199,NA,1567,NA
"_C8p_QI26551",NA,NA,18468,15943,72568,26584,40560,19190,138574,26242,NA,9017,106845,1081,18913,19628,48207,7040,103227,146737,8724,5892,NA,86168,803,35437,2356,35933,NA,11435,69895,5151,NA,66862,NA,23860,4860,10671,127196,193474,112499,255866
"_HILp_QI17378",682,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708,NA,NA,2283,NA,NA,NA,149065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILn_QI3865",64057,NA,31650,NA,249247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI6061",188579,697,580,41814,NA,12799,18687,5821,14190,793,2583543,10553,1186245,3212,64344,72110,17713,189547,8829,873076,2223,946,30228,18695,NA,341514,152231,12138,23723,NA,23421,100723,NA,NA,145771,7607,NA,938,2048,34738,967464,93106
"_C8p_QI13700",NA,NA,NA,NA,NA,NA,277,43,167,41,NA,NA,NA,391,968,NA,140,NA,NA,NA,215,10,181,NA,NA,NA,NA,114,NA,NA,NA,NA,163,NA,133,NA,NA,NA,127,NA,182,NA
"_HILp_QI9348",151355,258110,652449,6785,1401083,896275,278228,351830,252401,534896,89508,802477,158514,194500,496611,954944,133359,649239,196124,409539,94310,283285,72627,58233,296151,307996,149900,550247,1118827,519415,32033,193507,1574,94301,539298,235148,171754,452926,223293,185844,382756,147284
"_C8p_QI13244",NA,NA,NA,NA,NA,NA,NA,58504,NA,242803,NA,NA,NA,284608,NA,NA,296903,NA,NA,3250,NA,63237,242155,NA,8551,NA,NA,NA,NA,NA,NA,NA,77657,NA,NA,NA,NA,1815,NA,NA,NA,NA
"_C18n_QI10541",1112,18850,3761,22160,2209,6054,15231,9043,7525,48776,7919,62774,15016,43890,22136,35446,55700,18301,19250,4472,2679,27086,50924,24622,3678,11457,28077,25583,NA,24285,16482,26698,NA,4128,9458,52898,25446,20116,27344,4218,25439,706
"_HILn_QI11174",NA,96,NA,NA,NA,NA,1151,NA,308,216,NA,15,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,886,NA,NA,151,NA,NA,NA,NA,NA,NA,608,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI7945",1426,12065,NA,9723,8102,9275,12575,13274,14669,19567,15960,7215,8350,8726,31719,10055,17799,24323,69917,2053,40162,14451,NA,11319,13531,8713,23921,24494,6390,33569,32136,10459,8799,36746,22052,32178,2530,15413,33543,9204,27773,28890
"_HILp_QI138",16138,641,2125,1713,9310,2931,581,124,465,26985,353,14131,1539,196,2621,9292,406,7025,693,7558,2925,2612,1545,506,12115,7020,2655,1587,2249,6829,330,864,3867,1563,3341,1917,1842,447,326,455,2837,1056
"_C8p_QI9244",5207,117401,36296,91642,95835,10736,37589,62105,44171,103295,7334,NA,28738,3517,159900,58696,62512,2166292,18479,14888,18441,37524,10238,29207,NA,25260,23771,61200,NA,247951,1645,46172,524,3790,145334,116091,55568,118770,17966,21642,89307,2647
"_HILp_QI9009",NA,NA,NA,10414,NA,NA,446049,NA,NA,NA,NA,NA,NA,7638,NA,293246,NA,NA,1361,NA,NA,1059,NA,NA,NA,NA,2001,NA,NA,NA,109759,NA,NA,753,NA,NA,NA,NA,NA,NA,2146,NA
"_HILp_QI18281",NA,NA,NA,5677,NA,47104,120,NA,NA,NA,NA,NA,236464,NA,NA,NA,NA,NA,1258145,NA,27336,NA,10900,13032,NA,NA,2915,NA,5518,4069,NA,1139,NA,2302,NA,NA,NA,NA,NA,NA,2674,NA
"_C8p_QI14082",1464903,778021,1187465,1467267,2183677,2508474,717646,222991,977760,22020,332821,13502886,1308965,174195,494224,1014791,198034,726510,727088,531068,1196913,5624540,104096,2895227,5464428,1538273,709095,1361087,223929,1359950,1125049,201885,686580,570909,1245697,482161,15116,570031,460670,3746508,1808770,4812126
"_C8p_QI8287",53872,11239,16800,17990,67,339,11634,9374,2115,NA,1186,22634,237451,15009,40961,65772,7926,41754,1238,2594033,5598,11586,20684,8567,15435,256248,196790,10386,NA,26120,36016,119409,1842,24632,5377,NA,NA,1200,NA,243364,187329,6723
"_HILn_QI25578",7732282,4104677,14950126,6516316,6481862,46282664,1960349,3288174,3031710,2582229,12121931,7370366,4875257,4912546,8146035,6487286,3785978,2256576,4761082,6176720,3644877,4291192,10802589,3514182,3481717,3109171,5853946,8546562,8680902,3293163,3406554,3512240,7550793,2279117,5294396,3268276,384259,4070713,6195848,9228400,10080119,4102273
"_C8p_QI2181",648,NA,62,NA,2334,1282,NA,NA,NA,NA,NA,136,NA,1378,NA,NA,NA,145,NA,NA,2986,NA,NA,NA,34,948,NA,403,NA,16,NA,NA,NA,1278,83,NA,NA,NA,NA,NA,NA,249
"_HILp_QI19162",130668,98231,13418,146834,76140,NA,NA,4108,35368,69098,7798183,NA,14120,181915,634080,3087,9292,NA,43999,272123,NA,63161,329301,33,2902,65634,25575,171007,26912,NA,52144,135739,18154,687,599003,206351,NA,205740,29007,12094,89162,3124
"_HILn_QI33231",16444,2730,3755,8102,11845,16394,57,2962,2960,2510,13037,11026,29624,38411,5007,2804,9540,956,21701,2475,3073,7457,15539,9031,17636,7700,20136,5071,2540,5495,15836,10478,18812,16428,1826,5650,NA,4681,20763,27324,2974,14304
"_HILn_QI9063",NA,87,NA,NA,50,NA,NA,62,NA,11510,NA,9659,NA,NA,NA,30,NA,502,297,NA,NA,NA,NA,159,NA,53762,NA,NA,NA,NA,NA,NA,NA,NA,NA,2258,66,3306,NA,NA,NA,NA
"_C18n_QI184",16907,12851,11276,15031,13201,20650,18164,11094,12114,30463,16009,41286,20818,9701,6238,7612,9951,4704,19136,13360,13248,13341,12908,10534,39983,11384,10756,7662,88961,4721,16598,7097,28432,25484,6471,12801,10287,8983,25203,14882,6936,30731
"_C18n_QI1293",NA,9572,7367,28324,NA,NA,15943,8636,6525,6101,985,30207,821,1871,400,NA,97,3233,1979,1293,994,6046,560,NA,29936,212,2101,291,21774,1045,1438,1178,17825,4351,NA,249,4249,258,821,48,630,23738
"_C18n_QI10154",6205,1383,81951,39493,14930,9935,890,NA,13547,27701,524,NA,12897,3225,6103,6803,7216,3245,4001,12467,12411,10052,18437,2408,NA,1455,25752,8137,3303,16194,15505,16960,3563,5689,6178,10736,8559,12123,1251,10769,713,10352
"_HILn_QI10455",102587,14028,18039,26448,28649,9268,6909,9562,19922,NA,564,161165,11535,12863,43296,28790,16959,25106,20173,24297,52486,48711,1273,8028,49840,18077,26734,17947,233,35425,2465,2668,50353,17967,7487,1336,2873,84,4922,77890,19413,76430
"_C8p_QI3542",1890,788,608,828,1067,1245,69,NA,477,NA,586,492,1814,NA,NA,NA,NA,NA,1750,NA,428,NA,NA,726,1756,992,1416,135,4759,939,732,553,NA,918,423,1333,437,405,704,2237,NA,3342
"_HILn_QI21158",NA,NA,NA,29759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI233",NA,19439,8626,11990,3602,6224,3804,14056,1111,90401,27755,78435,17515,8196,32089,6333,6602,49389,19377,33148,8225,37422,9276,11118,173368,24410,12637,21114,73889,40832,13828,15051,39071,6970,15021,23687,137492,23382,18324,14291,26648,43181
"_HILp_QI14063",17420,NA,151227,NA,NA,NA,12931,NA,47481,9363,365,62365,165433,NA,21139,531474,NA,21226,31406,210811,46560,21116,NA,5532,32180,74248,NA,2973,2600,2396,1020,283169,12466,628,8353,27924,15811,NA,102150,51142,92539,15801
"_HILp_QI9150",64133,45661,548667,1051951,240932,46568,55649,76496,235564,161095,77175,772555,124510,9425,40459,89241,43388,74704,75787,53007,26781,293681,503,11586,80931,34293,25758,84469,416343,64483,13131,44763,2972,41694,49661,40341,123737,84254,80048,81851,174886,69399
"_HILn_QI27771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI5540",23891,7122,33532,17797,31514,NA,9584,1987,216,NA,857,NA,NA,NA,NA,111739,457,NA,NA,NA,NA,5904,86803,NA,NA,NA,202,3826,20160,2621,NA,5254,9654,245,380,55884,NA,54891,NA,NA,1391,25700
"_HILp_QI113",288,91,531,1801,167,402,3913,4478,1219,74,21711,23,7156,33203,5009,NA,967,1079,731,6560,636,30,2082,1648,96,5016,19488,5399,9524,176,410,3521,NA,NA,1761,54,114,NA,581,10441,10340,1663
"_C18n_QI8604",24288,121783,6009,92021,96168,NA,9922,165375,43096,235186,65617,32,87227,62852,177994,51388,98231,37354,1875,81743,22498,42699,140070,44785,NA,38642,3358,77704,16296,120088,39789,51662,NA,40792,71270,134771,38564,134732,68089,71358,134989,40432
"_C8p_QI14772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,NA,NA,NA,NA,NA,NA,NA,2221,NA,NA,NA,NA,NA,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,NA,NA,NA,NA
"_C18n_QI2389",6081,47003,186151,91844,77631,147479,33298,164219,17250,97924,70560,NA,10043,NA,20876,7498,3636,6831,17597,376,83,3470,17365,3325,NA,38859,26049,14274,82447,12946,13581,36924,NA,28643,5196,102369,37081,9657,272391,63619,7480,NA
"_HILn_QI22411",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,NA,3152,541,NA,NA,NA,NA
"_C8p_QI11152",10378,2275,NA,324,NA,NA,598,NA,NA,NA,20955,NA,NA,NA,1986,559,606,4029,NA,1109,1732,NA,144,NA,NA,NA,NA,2042,NA,3829,NA,3374,NA,NA,1952,NA,NA,15032,NA,NA,280,NA
"_C8p_QI16352",36428,1267,794,NA,8028,2783,1187,153,2745,722,NA,20968,19277,2635,6467,8981,1214,130,1283,29082,1466,5068,631,NA,858,8708,12966,14788,1638,1897,NA,2981,3058,4926,31132,NA,785,1557,222,12015,12430,7419
"_C8p_QI13925",NA,NA,NA,NA,37294,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,4056,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,3278,NA,233,9133,NA,NA,1345,NA
"_C8p_QI10914",5243,5186,NA,2120,12581,NA,13452,NA,NA,8656,NA,NA,993,NA,1024,7263,479,10067,6318,741,4699,NA,2989,5960,17895,NA,7484,2020,NA,734,NA,1008,16368,25028,NA,3681,5647,979,7821,6826,NA,4658
"_HILp_QI2491",1499,NA,448,NA,14419,871,160,NA,546,1990,NA,10115,NA,NA,1964,4526,NA,18804,505,10947,423,233,NA,NA,13953,714,NA,706,2592,137,186,NA,2638,3843,310,NA,NA,NA,564,153,373,1762
"_C8p_QI298",NA,1422,1318,NA,226,NA,1901,781,1277,NA,2264,NA,340,259,4189,2536,4644,6424,2628,302,1389,NA,1145,2610,NA,366,4193,1256,NA,6348,573,2674,NA,NA,3925,149,NA,4014,NA,154,4195,NA
"_C18n_QI7488",4914,17591,5090,3813,18057,3643,3404,20187,14177,2122,100929,3155,5397,42783,1764,905,39428,76,6225,5061,15373,4402,709,41130,8130,36129,49295,3106,NA,2722,4199,8545,7421,15157,24335,6757,743,19602,32529,39896,5911,52613
"_C18n_QI2653",NA,NA,NA,NA,7384,964,NA,6310,NA,NA,35368,NA,NA,NA,1303,NA,1586,NA,19,35,NA,NA,34,NA,NA,1223,NA,26,326,NA,NA,18294,NA,NA,338,NA,NA,322,3814,NA,NA,NA
"_C18n_QI13625",171994,576,582318,74270,NA,83486,NA,NA,32545,NA,NA,718,NA,42996,332614,NA,NA,15938,NA,NA,12846,NA,NA,45823,NA,3725,NA,4631,NA,NA,2554,NA,8743,NA,NA,NA,1696,10,13003,18300,NA,NA
"_C8p_QI11303",76786,41123,108628,169062,371012,1583,45812,8277,215754,18490,29424,73897,83389,11480,43938,501056,55019,158559,59290,166881,67159,90001,19812,59774,193573,186052,83253,111966,13380,90475,23297,140165,133709,26642,11142,102987,4005,137014,256,13994,306094,NA
"_C8p_QI4105",NA,NA,813,1740,7974,14847,NA,26471,NA,7657,NA,NA,NA,856,NA,6192,556,37438,NA,NA,449,6175,495,7095,183,NA,545,27462,NA,36182,171,2855,NA,NA,4122,21582,5048,40008,7898,NA,3765,476
"_HILp_QI9089",468196,163477,102855,NA,873654,NA,95528,84597,164698,NA,NA,NA,NA,NA,NA,513579,NA,NA,NA,NA,369,302549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,281064,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI3318",13482,3603,13688,6023,35088,38394,22075,5306,13563,11166,15619,2318,22774,22061,14193,23027,10113,7954,17747,6566,55315,12005,15115,417,7802,4502,4227,9524,441,11462,6904,19517,1965,9970,6803,12366,9477,3327,23025,9409,7002,175
"_HILp_QI20979",NA,402,21067,17020,NA,NA,NA,NA,1426,166,NA,45385,30900,NA,NA,NA,NA,NA,NA,NA,72668,NA,NA,2517855,212597,NA,NA,NA,63,NA,NA,2003806,40218,NA,42728,NA,NA,119844,NA,887,NA,NA
"_C8p_QI25727",86770,NA,NA,NA,NA,NA,NA,NA,13768,NA,NA,NA,NA,1538,NA,8975,131232,7569,1644,164787,NA,NA,45273,674419,NA,NA,NA,23029,NA,2329,NA,17050,NA,NA,NA,NA,NA,NA,12619,NA,42143,NA
"_HILp_QI16669",NA,NA,NA,NA,553902,NA,NA,5561,87980,NA,NA,1776,NA,NA,NA,317684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI11202",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,417,85,35,NA,NA,NA,9453,NA,NA,NA,NA,NA,8588,NA,NA,36,NA,NA,NA,NA,13,NA,NA,NA,NA,4117,5,NA,NA,NA,NA
"_HILn_QI27249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_HILp_QI22194",NA,NA,NA,NA,NA,2717,26,NA,NA,NA,1131,5381,NA,NA,2302,NA,NA,781,2911,NA,NA,NA,26161,18789,NA,208,NA,42448,3469,4641,NA,5493,NA,NA,19,NA,NA,58202,1245,NA,NA,NA
"_HILn_QI10710",3602,1107,1272,10750,354005,2085,594,3038,3144,2261,3466,6606,5460,3075,657,1254,6790,NA,11504,2506,1744,2891,3532,8890,7896,8165,8421,4305,23239,544,2545,2949,4247,3774,379,3068,NA,2223,2844,2182,1552,9667
"_C8p_QI27525",NA,NA,NA,49549,488,NA,NA,5408321,NA,9710411,NA,13156,NA,6075619,57949,NA,5313701,NA,NA,515666,5159,5220809,5615806,532642,1136941,NA,NA,22353,NA,NA,NA,NA,4674225,NA,NA,NA,184998,845889,92521,NA,NA,NA
"_HILp_QI15570",NA,NA,597,NA,836,NA,NA,138336,NA,NA,NA,NA,NA,NA,NA,818,NA,NA,NA,NA,246865,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,NA,NA,38512,NA,NA,NA,NA
"_HILp_QI1914",NA,1805,146,NA,622,359,998,NA,7492,145,453,360,565,4106,1079,384,1609,2585,1384,108,7545,6209,NA,322,NA,79,466,5358,110,240,1602,176,NA,1645,216,351,969,510,160,NA,17409,2416
"_HILp_QI24101",13927,NA,NA,NA,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI1328",4796,4779,4384,3686,10586,8456,4288,4134,10396,5853,3678,4537,4862,1114,2878,8387,1130,2945,7954,1639,6451,451,1529,6504,8219,5304,5816,2655,16155,4746,6927,3265,6912,9183,2906,5338,6681,6337,8186,7295,2564,11020
"_HILn_QI33576",NA,731,1042,26,NA,NA,1098,NA,385,NA,NA,NA,4656,17493,NA,62,745,NA,531,65,8810,NA,17679,872,NA,NA,8869,NA,NA,NA,NA,580,NA,NA,NA,26,NA,NA,4197,285,NA,125
"_HILn_QI23113",NA,NA,NA,NA,NA,NA,NA,NA,NA,334,NA,NA,7084,NA,1394,NA,NA,NA,NA,NA,NA,NA,NA,776,5878,NA,NA,NA,NA,NA,1669,NA,1210,NA,NA,NA,NA,NA,480,NA,NA,NA
"_HILp_QI23925",1062749,136186,879165,912353,617433,6500660,566350,86725,619830,65563,656263,6431958,2045351,2070676,387878,852929,742008,73535,1440293,1251168,249600,571156,560451,869354,5697448,1507732,2020211,1042922,262677,187379,3065415,1107530,5645941,2246265,1131610,775504,96860,574277,1379868,2106810,554905,3004080
"_HILn_QI2276",3393674,2755409,2464795,3876679,3533904,416,4076099,1944277,2931575,18342,5211,1110,15376,21767,3104,3674634,3456,31578,8766,8139,5113,2734869,6101,15813,3764,12425,6067,1783,50593,6839,6522,7405,4996,1777412,985,9622,20022,14460,16710,30318,6553,515
"_C18n_QI3646",NA,31,42,86,NA,NA,4348,1211,27,32,NA,740461,NA,NA,509,NA,693,3267,NA,777,NA,NA,407,30,62612,45,157,138,2127,1838,361,762,303574,NA,806,188,5000,257,94,3877,3213,254504
"_HILp_QI20520",NA,657,266113,NA,NA,NA,1080,NA,1413,NA,NA,207929,178144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22101,NA,NA,NA,NA,NA,NA,NA
"_C8p_QI21337",698226,197473,181883,1786564,2330839,111795,658519,39537,75515,2514,3548169,NA,90085,44339,5308,78387,17618,NA,98015,2909,74539,NA,3156,357243,43430,1527592,214259,7512,NA,NA,NA,805362,298019,557087,246960,NA,3597,9423,1938808,698664,NA,534970
"_HILp_QI21744",3325,NA,1693,NA,97,NA,NA,NA,NA,NA,296,NA,NA,4275,NA,NA,NA,NA,1371,NA,NA,NA,145469,NA,NA,NA,NA,NA,1610,NA,NA,3806,NA,NA,4100,NA,NA,NA,901,73,NA,370
"_C8p_QI28570",NA,NA,NA,34013,NA,NA,NA,9676,NA,NA,NA,NA,NA,NA,NA,NA,NA,11386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17303,NA,906,NA,NA,6350,78715,NA,NA,NA,NA,1368,NA
"_HILn_QI10841",3520,6301,NA,641,NA,NA,265332,27058,1376,NA,4103,2150,183007,52971,110854,12621,234959,36353,167184,35307,131001,179562,NA,74062,85078,11058,288199,87016,695,12082,126089,12561,76458,257980,NA,54751,NA,2011,NA,1039,279205,NA
"_C8p_QI24570",2926,1407,2026,NA,NA,83732,25434,1919,NA,406,116830,NA,777,NA,306,NA,NA,NA,85828,79,8285,1497,3495,NA,NA,NA,NA,906,2502,1165,18056,7490,NA,NA,2220,29194,NA,52199,19475,11696,395,NA
"_C18n_QI5202",400,21644,445703,13478,86853,497,14337,160898,5778,664477,22642,NA,5009,10216,6221,7362,16969,6813,1651,10,NA,515,6567,15638,9,6373,5623,49826,633318,421621,915066,330027,3388,2282,1113492,14399,1522772,69499,650782,6178,9788,12220
"_C18n_QI9260",29566,8530,11918,736,1882,NA,11032,7171,13325,475,8443,76045,3487,20132,67470,16171,19911,41987,67537,188259,74803,17253,7229,39779,83896,3600,6226,16411,6000,37300,8633,1692,239036,6907,7311,8867,35107,1661,31,NA,39165,44205
"_HILn_QI6460",NA,178,470,310,19971,NA,857,2147,NA,4956,NA,NA,5084,2191,1012,4137,853,2284,265,185,NA,5424,925,934,NA,1697,NA,5742,216,NA,NA,1080,656,NA,1788,7016,2471,11398,14473,10081,2279,98
"_C18n_QI9076",267536,7298,179861,21251,8920,96007,110779,42558,224676,7986,314537,53325,254130,559143,64889,171092,180715,177192,3009,730506,480685,NA,158744,116677,39326,115051,24068,26201,932,11985,393374,171033,65434,88382,146110,24781,1051,18628,77526,117108,321781,204300
"_HILn_QI21884",13370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4820,NA,NA,NA,NA,NA,NA,NA,NA,NA,1155,NA,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_C18n_QI800",6886,3840,4854,6433,7115,6701,3434,3973,2767,9942,8040,20057,9589,NA,1840,2444,2586,755,5345,3242,4193,5705,4753,3092,11742,3984,3194,3205,28567,2424,8458,2128,6936,6667,1714,9718,3158,43720,7922,8556,1569,13355
"_C8p_QI16999",NA,NA,3510,NA,NA,NA,NA,806877,NA,3481056,NA,68705,261,1788668,NA,751,1223797,NA,312,257257,2373,1357664,1481423,NA,189465,NA,NA,6791,NA,NA,NA,247,1756553,467,120,NA,NA,33404,NA,NA,NA,NA
